status_id,author_name,user_id,post_time,post_content
6337,Donald J. Trump,@realDonaldTrump,2024-01-11 23:19:00,"THANK YOU, TOGETHER WE WILL MAKE AMERICA GREAT AGAIN!!!"
6336,Donald J. Trump,@realDonaldTrump,2024-01-11 23:23:00,“WHERE IS BIDEN AS THE U.S. CONDUCTS MILITARY STRIKES IN THE MIDDLE EAST”
6335,Donald J. Trump,@realDonaldTrump,2024-01-11 23:54:00,"“Breaking Biden,” by New York Times Bestselling Author, Alex Marlow, is a “hot” new book. Go get it now!!!"
6333,Donald J. Trump,@realDonaldTrump,2024-01-12 01:10:00,"Thank you,@RealBenCarson!"
6332,Donald J. Trump,@realDonaldTrump,2024-01-12 07:23:00,"Ron DeSanctimonious has just dropped to a solid third place in the new Suffolk University Poll, as Birdbrain, who performed poorly in the last debate against him, nevertheless overtakes Ron in Iowa. TRUMP, however, surges to a 34 Point lead, “knowing that his people will vote no matter how cold it gets. They will walk on  glass for him in order to MAKE AMERICA GREAT AGAIN.” Chris Christie is “kaput,” strangely deciding to drop out prior to New Hampshire, where he has put in so much time, effort, and money. I hear he will soon be Endorsing “Aida” Hutchinson, who last week cracked 1% for the first time, before falling back down to Zero. Chris is desperately seeking a TV job, but sadly, no one wants him. ABC FAKE NEWS can get him back for half of what they were paying him. May he rest in peace!"
6331,Donald J. Trump,@realDonaldTrump,2024-01-12 07:55:00,"So, let me get this straight. We’re dropping bombs all over the Middle East, AGAIN (where I defeated ISIS!), and our Secretary of Defence, who just went missing for five days, is running the war from his laptop in a hospital room. Remember, this is the same gang that “surrendered” in Afghanistan, where no one was held accountable or FIRED. It was the most embarrassing “moment” in the history of the United States. Now we have wars in Ukraine, Israel, and Yemen, but no “war” on our Southern Border. Oh, that makes a lot of sense. Crooked Joe Biden is the worst President in the history of the United States!"
6330,Donald J. Trump,@realDonaldTrump,2024-01-12 08:27:00,"Why didn’t Judge Engoron announce his decision yesterday after we proved conclusively that I DID NOTHING WRONG!!! NO JURY ALLOWED, Great Financial Statements, No Victims, No Fraud, No Crimes, Happy Banks and Insurance Companies, only success and profits —  And a corrupt N.Y.S. Attorney General, who sat comfortably and confidently in Court yesterday with her shoes off, arms folded, a Starbucks Coffee, and a BIG smile on her face… JUST LIKE SHE KNOWS EXACTLY WHAT THE DECISION WILL BE! The closing argument of the State was pathetic, NO WITNESSES AND NO EVIDENCE AGAINST ME! Legal Scholars are “killing” the A.G. and Judge for this Witch Hunt. The Judge is being badly influenced, and the Gag Order must come off! REMEMBER,THIS JUDGE RULED AGAINST ME BEFORE THE TRAIL EVEN STARTED, AND HE KNEW NOTHING ABOUT THE CASE. The public is angry over this HOAX. This trial is RIGGED!"
6059,"Mark Alford, U.S.Rep MO-4",@markaalford,2024-01-12 11:04:00,The 2024 election is the most important election of my lifetime.We need security and@realDonaldTrumpis the only one that can provide it.
6058,"Mark Alford, U.S.Rep MO-4",@markaalford,2024-01-12 11:04:00,The 2024 election is the most important election of my lifetime.We need security and@realDonaldTrumpis the only one that can provide it.
6329,Donald J. Trump,@realDonaldTrump,2024-01-12 13:41:00,“States can’t ignore election integrity”
6328,Donald J. Trump,@realDonaldTrump,2024-01-12 13:42:00,"“At conclusion of final arguments in NY civil fraud trial, Trump expresses optimism about outcome—Trump said that the loans were all paid back and the banks”"
6311,Donald J. Trump,@realDonaldTrump,2024-01-12 13:48:00,"Rep. Mike Waltz: “President Trump’s maximum pressure campaign dried up money for Hezbollah, Hamas, & other Iranian-backed militias.Now, under Biden, they’re flush with cash and unleashing hell on Israel and the world. Disastrous.”"
6310,Donald J. Trump,@realDonaldTrump,2024-01-12 13:49:00,Donald Trump on NY AG Letitia James outside the courtroom at his civil fraud trial:“She should be criminally liable for this … I think we should be entitled to damages.”
6309,Donald J. Trump,@realDonaldTrump,2024-01-12 13:51:00,President Trump arrives for closing arguments in New York Civil Fraud Trial: “It’s an unconstitutional witch hunt. It’s election interference at the highest level...It’s a very unfair trial...I have no jury. I really have no rights. Nobody thinks it’s constitutional.”
6305,Donald J. Trump,@realDonaldTrump,2024-01-12 13:53:00,"First Tee under construction on the New Course in the Great Dunes of Aberdeen, on the North Sea, Scotland—Perhaps the Greatest Golf Land anywhere in the World!"
6302,Donald J. Trump,@realDonaldTrump,2024-01-12 14:05:00,Text TRUMP to 88022
6301,Donald J. Trump,@realDonaldTrump,2024-01-12 14:43:00,She has no chance of beating Biden or the Democrats!
6297,Laura Loomer,@LauraLoomer,2024-01-12 18:59:00,"MUST WATCH:🚨RON DESANTIS GOT LOOMERED INSIDE HIS HOTEL IN IOWA🚨Ron DeSantis just got LOOMERED at his hotel in Des Moines, Iowa, 3 days before the Iowa Caucus!I confronted DeSantis as he was walking into his hotel, and he hid from me inside the hotel convenience store and used his staffers, including Kelly Kundinger, to physically block my body. His staff also shoved me and tugged on my clothing so that DeSantis could get away from me and run into an elevator.But, I didn’t back down!!!!!I asked DeSanctus if he plans on endorsing President Trump when DeSantis loses the Iowa Caucus on Monday, January 15, 2024.I asked him why he is an ABSENTEE GOVERNOR who unethically changed the law in Florida so he could run for President on taxpayer dime and keep his Gubernatorial salary while he abandoned Floridians during multiple storms and an insurance crisis.I asked him why he is ALWAYS backing down even though his PAC is named Never Back Down.1/2"
6296,Laura Loomer,@LauraLoomer,2024-01-12 18:59:00,"MUST WATCH:🚨RON DESANTIS GOT LOOMERED INSIDE HIS HOTEL IN IOWA🚨Ron DeSantis just got LOOMERED at his hotel in Des Moines, Iowa, 3 days before the Iowa Caucus!I confronted DeSantis as he was walking into his hotel, and he hid from me inside the hotel convenience store and used his staffers, including Kelly Kundinger, to physically block my body. His staff also shoved me and tugged on my clothing so that DeSantis could get away from me and run into an elevator.But, I didn’t back down!!!!!I asked DeSanctus if he plans on endorsing President Trump when DeSantis loses the Iowa Caucus on Monday, January 15, 2024.I asked him why he is an ABSENTEE GOVERNOR who unethically changed the law in Florida so he could run for President on taxpayer dime and keep his Gubernatorial salary while he abandoned Floridians during multiple storms and an insurance crisis.I asked him why he is ALWAYS backing down even though his PAC is named Never Back Down.1/2"
6295,Donald J. Trump,@realDonaldTrump,2024-01-12 19:15:00,A MESSAGE TO THE GREAT PEOPLE OF IOWA!
6294,Donald J. Trump,@realDonaldTrump,2024-01-13 00:30:00,Thank you to Senator Mike Lee of Utah - A GREAT HONOR!
6293,Donald J. Trump,@realDonaldTrump,2024-01-13 00:40:00,"Thank you to Sammy the Bull. I hope Judges Engoron & Kaplan see this. We need fairness, strength and honesty in our New York Courts. We don’t have it now!"
6292,Donald J. Trump,@realDonaldTrump,2024-01-13 01:39:00,“KEVIN O’LEARY DISMANTLES CASE AGAINST TRUMP”
6291,Donald J. Trump,@realDonaldTrump,2024-01-13 11:54:00,"Republican Judges are  very often afraid to do the right thing. They go out of their way to show they are totally impartial, to the point of making really bad and unfair decisions. Their counterparts, Judges appointed by Democrats, like Biden or Obama, laugh at the stupidity of it all. They go out of their way to follow the party line, they don’t give the opposition a chance. Such a difference — It is so SAD to see!"
6290,Donald J. Trump,@realDonaldTrump,2024-01-13 11:55:00,Heading to Iowa. MAKE AMERICA GREAT AGAIN!
6288,Donald J. Trump,@realDonaldTrump,2024-01-13 12:53:00,"Andrew C. McCarthy: “I was a prosecutor for many years, so I can’t say I’ve never seen such overt judicial loathing of a defendant and/or his counsel. But on those rare occasions, one usually finds sociopathic defendants who’ve committed heinous crimes, or lawyers whose tactics skirt the lines of suborning perjury and the like. Here, there is nothing like that. There is just … Trump. Judicial decorum demands that a judge have some rationale for this kind of indignation other than the defendant’s person. Yet that’s not what’s going on here.”"
6289,Donald J. Trump,@realDonaldTrump,2024-01-13 12:53:00,"Andrew C. McCarthy: “ Executive Law 65(12) outlaws engaging in ‘repeated’ and ‘persistent’ fraud in business dealings. Well, okay, but if one engaged in such an egregious pattern of behavior, surely we’d expect to find some victims, right? At least one victim? I mean, if you’re going to incinerate a multibillion-dollar international conglomerate, shouldn’t there be, you know, a bank that lost, if not millions in depositor savings, at least a few bucks? Especially if, as in James’s case, at issue are more than a dozen years of financial dealings. But here: There’s no victim. No harm to any creditor or investor. No bank or insurance company brought in to say, ‘Donald Trump ruined us … or at least profoundly damaged us … or maybe, you know, shaved a few shekels off some middle-manager’s annual bonus.’”"
6287,Donald J. Trump,@realDonaldTrump,2024-01-13 12:54:00,“Trump’s Record Breaking Iowa Performance Is Panicking The Competition”
6286,Donald J. Trump,@realDonaldTrump,2024-01-13 12:55:00,Brit Hume: “We’re Getting Pretty Close To Iowa And N.H. And Trump Seems Stronger Than Ever”
6285,Donald J. Trump,@realDonaldTrump,2024-01-13 12:58:00,"“As Trump Lead Widens, Prosecutors Step Up Pursuit”"
6284,Donald J. Trump,@realDonaldTrump,2024-01-13 13:05:00,MUST WATCH: Kid Rock Tells Tucker Carlson Trump is “The Toughest Son of a B*tch on Earth”
6280,Donald J. Trump,@realDonaldTrump,2024-01-13 13:09:00,"“Embattled Special Prosecutor in Trump Case, Nathan Wade, Allegedly Billed Fani Willis’s Office $6k for 24 Hours of Work in 1 Day”"
